perfil,horizonte,tA_perc,ctc_cmolc,ativ_arg_cmolc,grosseiros_perc,pH,c_org_perc,na_cmolc,exch.Na,k_cmolc,ca_cmolc,mg_cmolc,al_cmolc,sat_al_perc,p_ppm,SQI_perc,Back et al.
11,Ap,37,11.4,30.81,1,5.2,2.27,0.12,1.05,0.16,2.9,0.6,0.9,19,1,42.86,133
11,BA,41,6.7,16.34,3,4.7,0.79,0.07,1.04,0.04,0.7,0.7,2.4,75,1,28.57,123
11,Bw,42,4.3,10.24,3,4.6,0.21,0.04,0.93,0.01,1.2,0.4,1.6,48,1,28.57,133
11,BC,45,5,11.11,3,4.6,0.21,0.03,0.6,0.01,0.8,0.8,2.1,72,1,28.57,123
78,A,41,14.4,35.12,2,4.3,2.12,0.09,0.63,0.15,1,0.5,2.8,62,4,35.71,117
78,AB,46,7.9,17.17,6,4.5,1.09,0.04,0.51,0.04,0.6,0.6,2.1,75,2,35.71,124
78,BA,48,6.5,13.54,1,4.6,0.84,0.04,0.62,0.03,0.4,0.4,2,80,1,21.43,123
78,Bw1,58,6.3,10.86,2,4.5,0.64,0.04,0.63,0.03,0.4,0.4,2.2,81,1,21.43,123
78,Bw2,63,5.1,8.1,3,4.6,0.36,0.04,0.78,0.03,0.2,0.2,1.9,86,1,21.43,83
78,BC,48,3.9,8.13,11,4.6,0.15,0.04,1.03,0.03,0.2,0.2,1.5,83,1,21.43,123
21,Ap,68,10,14.71,0,4.6,1.02,0.12,1.2,0.12,0.5,0.5,3.2,82,2,28.57,84
21,BA,68,9.1,13.38,0,4.6,0.72,0.06,0.66,0.05,0.2,0.2,3.3,92,1,21.43,83
21,Bw1,70,8.5,12.14,0,4.7,0.68,0.05,0.59,0.03,0.2,0.2,3.1,91,1,21.43,83
21,Bw2,73,8.2,11.23,0,5,0.56,0.06,0.73,0.04,0.6,0.6,2.3,77,1,28.57,83
21,Bw3,70,5.7,8.14,0,5.2,0.3,0.05,0.88,0.02,0.4,0.4,1,67,7,28.57,95
65,A2,77,23.9,31.04,0,5.1,2.65,0.02,0.08,0.1,5.2,1.2,1.9,23,3,50,127
65,AB,80,21.9,27.38,0,4.8,1.59,0.03,0.14,0.06,1.5,1.4,5.1,63,2,42.86,94
65,BA1,81,15.1,18.64,0,4.8,1.24,0.06,0.4,0.05,0.9,0.9,4.7,82,1,42.86,73
65,BA2,81,12.2,15.06,0,4.8,1.04,0.02,0.16,0.05,1.1,0.2,3.7,73,1,35.71,83
65,Bw1,83,8,9.64,0,4.8,0.75,0.04,0.5,0.06,0.7,0.7,2,71,1,28.57,83
65,Bw2,82,5.6,6.83,0,4.8,0.4,0.02,0.36,0.04,0.2,0.2,0.9,75,1,28.57,83
29,Ap,81,21.1,26.05,0,4.9,3.28,0.09,0.43,0.09,4.7,2.3,1.3,15,5,42.86,117
29,Ab,79,15.8,20,0,4.7,2.43,0.05,0.32,0.04,1,0.3,3.6,72,1,35.71,83
29,BA,80,12.7,15.88,0,4.8,1.72,0.05,0.39,0.03,0.6,0.6,3.3,83,1,35.71,83
29,Bw1,81,9.4,11.6,0,4.7,1.16,0.05,0.53,0.03,0.3,0.3,2.5,86,1,28.57,83
29,Bw2,81,5.5,6.79,0,4.6,0.52,0.05,0.91,0.02,0.3,0.3,0.6,60,2,28.57,84
27,Ap,77,15.3,19.87,0,6.3,1.84,0.17,1.11,0.44,7,3,0,0,3,78.57,122
27,AB,81,11.9,14.69,0,4.8,1.73,0.06,0.5,0.06,1.9,0.6,2.3,47,1,35.71,93
27,BA,80,10,12.5,0,4.5,1.3,0.07,0.7,0.05,1.3,0.2,2.3,59,1,35.71,83
27,Bw1,82,7.1,8.66,0,4.5,0.78,0.27,3.8,0.05,0.9,0.9,1.1,48,1,42.86,93
27,Bw2,81,5.6,6.91,0,4.6,0.3,0.05,0.89,0.06,0.5,0.5,1.1,65,2,28.57,84
60,Ap,77,12.9,16.75,0,5,2.73,0.03,0.23,0.18,0.5,0.5,0.7,75,1,35.71,83
60,AB,79,8.2,10.38,0,4.8,1.38,0.01,0.12,0.03,0.1,0.1,0.1,92,1,42.86,83
60,BA,81,5.4,6.67,0,5.2,0.6,0.01,0.19,0.02,0.1,0.1,0.1,67,1,35.71,83
60,Bw1,81,4.3,5.31,0,5.3,0.45,0.01,0.23,0.02,0.1,0.1,0.1,67,1,35.71,73
60,Bw2,82,4,4.88,0,5.3,0.19,0.01,0.25,0.02,0.1,0.1,0.1,67,1,35.71,73
24,Ap,78,16.4,21.03,0,5.2,2.4,0.3,1.83,0.6,6.5,0.3,0.4,5,2,57.14,94
24,AB,83,12.7,15.3,0,4.9,1.36,0.06,0.47,0.08,3.9,0.4,1.6,27,1,35.71,93
24,BA,85,11,12.94,0,5,0.79,0.06,0.55,0.07,2.3,0.5,2.3,44,3,28.57,107
24,Bw1,85,10.6,12.47,0,5,0.71,0.08,0.75,0.09,1.3,0.4,2.8,60,1,28.57,83
24,Bw2,84,7.5,8.93,0,5.1,0.31,0.05,0.67,0.04,0.9,0.9,2,67,5,35.71,87
28,Ap,75,15.6,20.8,0,5.2,2.34,0.16,1.03,0.48,4.8,2.8,0,0,4,64.29,97
28,AB,75,10.2,13.6,0,4.5,1.84,0.06,0.59,0.06,0.4,0.4,3,86,1,28.57,83
28,BA,77,8,10.39,0,4.8,1.03,0.2,2.5,0.06,0.4,0.4,1.8,72,1,28.57,83
28,Bw1,79,6,7.59,0,4.6,0.64,0.06,1,0.04,0.2,0.2,1.1,79,2,28.57,84
28,Bw2,79,5.6,7.09,0,4.8,0.46,0.05,0.89,0.04,0.2,0.2,0.9,75,3,28.57,97
70,Ap,78,22.1,28.33,0,4,4.18,0.1,0.45,0.04,1.8,0.1,5.1,72,2,28.57,79
70,AB,82,14.1,17.2,0,4.1,1.88,0.07,0.5,0.03,0.8,0.8,4.4,83,2,35.71,59
70,BA,79,11.1,14.05,0,4.5,1.26,0.06,0.54,0.04,0.6,0.6,3.7,84,1,35.71,83
70,Bw1,81,7.2,8.89,0,4.3,0.75,0.06,0.83,0.03,0.2,0.2,1.8,86,2,21.43,74
70,Bw2,82,7.6,9.27,0,4.2,0.74,0.07,0.92,0.04,0.4,0.4,2.3,82,2,21.43,69
72,Ap,77,17.2,22.34,0,4.2,2.97,0.09,0.52,0.15,1.6,0.9,2.9,52,2,42.86,69
72,AB,80,15.1,18.88,0,4.3,2.47,0.07,0.46,0.05,1.3,0.3,2.7,61,1,35.71,73
72,BA,82,12.8,15.61,0,4.6,1.95,0.07,0.55,0.05,0.8,0.8,2.7,75,1,35.71,83
72,Bw1,86,9.5,11.05,0,4.3,1.32,0.07,0.74,0.03,0.3,0.3,1.6,80,1,28.57,73
72,Bw2,86,5.2,6.05,0,4.9,0.58,0.11,2.12,0.03,0.3,0.3,0.2,33,1,28.57,93
57,A1,83,19.5,23.49,0,3.9,3.14,0.03,0.15,0.17,0.6,0.6,5.8,88,1,28.57,58
57,A2,85,12.7,14.94,0,4.2,1.54,0.01,0.08,0.06,0.2,0.2,4.9,94,1,28.57,58
